,injectDate,street,city,delay,endNode,neighborhood_destination,neighborhood_initial
4035,04/24/2017 05:50:00 PM,Francis St,"Boston, MA",93,Brookline Ave,,
9465,04/25/2017 06:10:00 PM,Bowdoin St,"Boston, MA",138,Cambridge St,,
32249,04/23/2017 06:20:00 AM,Savin Hill Ave,"Boston, MA",86,Grampian Way,Dorchester,Dorchester
19155,04/20/2017 05:20:00 PM,Oliver St,"Boston, MA",276,Franklin St,,
12796,04/19/2017 11:40:00 AM,Huntington Ave,"Boston, MA",91,Louis Prang St,Fenway/Kenmore,
32532,04/23/2017 08:20:00 AM,Talbot Ave,"Boston, MA",102,Washington St,,
14231,04/19/2017 03:50:00 PM,Bowdoin St,"Boston, MA",121,Adams St,Stony Brook / Cleary Square,
30646,04/23/2017 12:00:00 AM,Heath St,"Boston, MA",135,Columbus Ave,,
6848,04/25/2017 03:30:00 AM,Washington St,"Boston, MA",214,Melnea Cass Blvd,,
23561,04/21/2017 01:50:00 PM,Summer St,"Boston, MA",271,Surface Artery,Chinatown,
26577,04/22/2017 02:20:00 AM,Columbus Ave,"Boston, MA",142,Seaver St,Roxbury,
16449,04/20/2017 01:00:00 AM,Melnea Cass Blvd,"Boston, MA",145,Massachusetts Ave,,
18654,04/20/2017 02:40:00 PM,Cummins Hwy,"Boston, MA",137,Washington St,,
32362,04/23/2017 07:10:00 AM,Warren St,"Boston, MA",84,Quincy St,,Roxbury
3684,04/24/2017 04:40:00 PM,Summer St,"Boston, MA",180,Surface Artery,Chinatown,
7632,04/25/2017 12:00:00 PM,Harrison Ave,"Boston, MA",80,Warren St,Roxbury,
13423,04/19/2017 12:50:00 PM,Frontage Rd,"Boston, MA",94,Boston St,,
2633,04/24/2017 01:50:00 PM,Jamaicaway,"Boston, MA",148,Washington St,,
28554,04/22/2017 03:30:00 PM,St Botolph St,"Boston, MA",70,Gainsborough St,Fenway/Kenmore,
21630,04/21/2017 02:40:00 AM,Dorchester Ave,"Boston, MA",134,Adams St,Stony Brook / Cleary Square,
33499,04/23/2017 06:30:00 PM,Harrison Ave,"Boston, MA",132,E Berkeley St,South End,
10796,04/25/2017 10:40:00 PM,Quincy St,"Boston, MA",785,Columbia Rd,,
25758,04/21/2017 11:00:00 PM,Chiswick Rd,"Boston, MA",96,Chestnut Hill Ave,Brighton,Brighton
10908,04/25/2017 11:00:00 PM,Fenway,"Boston, MA",416,Westland Ave,Fenway/Kenmore,Fenway/Kenmore
8624,04/25/2017 03:00:00 PM,Huntington Ave,"Boston, MA",299,Louis Prang St,Fenway/Kenmore,
8360,04/25/2017 02:10:00 PM,Washington St,"Boston, MA",272,Columbus Ave,,
15813,04/19/2017 09:20:00 PM,Harrison Ave,"Boston, MA",331,Warren St,Roxbury,
29306,04/22/2017 05:40:00 PM,Freeport St,"Boston, MA",140,William T Morrissey Blvd,,Dorchester
32522,04/23/2017 08:10:00 AM,South Boston Bypass Rd,"Boston, MA",70,Haul Rd,South Boston,
17989,04/20/2017 12:40:00 PM,Transportation Way,"Boston, MA",91,to I-90 W Mass Pike,,Jeffries Point
10960,04/25/2017 11:10:00 PM,E Berkeley St,"Boston, MA",78,Shawmut Ave,,South End
9917,04/25/2017 07:50:00 PM,Hanover St,"Boston, MA",66,Cross St,,
3692,04/24/2017 04:40:00 PM,Columbia Rd,"Boston, MA",64,Quincy St,,
25321,04/21/2017 09:00:00 PM,Fenway,"Boston, MA",263,Westland Ave,Fenway/Kenmore,Fenway/Kenmore
19309,04/20/2017 06:00:00 PM,Commonwealth Ave,"Boston, MA",75,Beacon St,,
7501,04/25/2017 11:40:00 AM,Jamaicaway,"Boston, MA",81,Perkins St,Medford Street / The Neck,
30765,04/23/2017 12:20:00 AM,W Broadway,"Boston, MA",165,Dorchester Ave,,
744,04/24/2017 02:10:00 AM,Hancock St,"Boston, MA",63,Columbia Rd,,Charlestown
18241,04/20/2017 12:50:00 PM,E 1st St,"Boston, MA",102,L St,South Boston,South Boston
10634,04/25/2017 10:30:00 PM,Francis St,"Boston, MA",236,Brookline Ave,,
27860,04/22/2017 07:50:00 AM,Clarendon St,"Boston, MA",86,Marlborough St,,
31253,04/23/2017 02:10:00 AM,Granite Ave,"Boston, MA",78,Gallivan Blvd,,
14509,04/19/2017 05:20:00 PM,Huntington Ave,"Boston, MA",75,Parker Hill Ave,Mission Hill,
30846,04/23/2017 12:40:00 AM,Massachusetts Ave,"Boston, MA",103,Huntington Ave,,
3604,04/24/2017 04:30:00 PM,Bennington St,"Boston, MA",78,Meridian St,,
12615,04/19/2017 07:50:00 AM,Columbia Rd,"Boston, MA",80,Dudley St,,
15779,04/19/2017 09:30:00 PM,Blue Hill Ave,"Boston, MA",380,Warren St,Roxbury,
13956,04/19/2017 02:40:00 PM,American Legion Hwy,"Boston, MA",91,Walk Hill St,,
33163,04/23/2017 05:00:00 PM,Kneeland St,"Boston, MA",201,Atlantic Ave,,
18210,04/20/2017 12:50:00 PM,I-90 W Mass Pike,"Boston, MA",87,I-90 W Mass Pike,,
24216,04/21/2017 04:40:00 PM,Huntington Ave,"Boston, MA",312,Longwood Ave,,
30758,04/23/2017 12:20:00 AM,Bowdoin St,"Boston, MA",175,Adams St,Stony Brook / Cleary Square,
33562,04/23/2017 06:50:00 PM,Congress St,"Boston, MA",96,Atlantic Ave,,
3707,04/24/2017 04:40:00 PM,South St,"Boston, MA",69,Centre St,,Downtown
23072,04/21/2017 12:30:00 PM,Warren St,"Boston, MA",89,Blue Hill Ave,,Roxbury
6108,04/25/2017 12:30:00 AM,Main St,"Boston, MA",106,Auburn St,Medford Street / The Neck,
22224,04/21/2017 05:30:00 AM,Huntington Ave,"Boston, MA",111,Francis St,,
28324,04/22/2017 02:40:00 PM,Blue Hill Ave,"Boston, MA",115,Dudley St,,
25061,04/21/2017 08:00:00 PM,William T Morrissey Blvd,"Boston, MA",140,Freeport St,Dorchester,
27154,04/22/2017 04:00:00 AM,Dorchester Ave,"Boston, MA",91,Adams St,Stony Brook / Cleary Square,
8991,04/25/2017 04:10:00 PM,Mass Ave Connector,"Boston, MA",190,Massachusetts Ave,,
11195,04/25/2017 11:40:00 PM,Blue Hill Ave,"Boston, MA",107,American Legion Hwy,,
3263,04/24/2017 03:30:00 PM,Aspinwall Rd,"Boston, MA",248,Washington St,,Dorchester
19289,04/20/2017 05:50:00 PM,Massachusetts Ave,"Boston, MA",81,Washington St,,
20739,04/20/2017 10:50:00 PM,Huntington Ave,"Boston, MA",96,W Newton St,,
33953,04/23/2017 11:30:00 PM,Hanover St,"Boston, MA",76,Cross St,,
20825,04/20/2017 11:20:00 PM,Stuart St,"Boston, MA",160,Charles St S,,
25419,04/21/2017 09:30:00 PM,Ruggles St,"Boston, MA",119,Huntington Ave,,
20003,04/20/2017 08:30:00 PM,to I-93 S / Quincy,"Boston, MA",115,I-93 S,,Medford Street / The Neck
1324,04/24/2017 05:30:00 AM,Hanover St,"Boston, MA",66,Cross St,,
3712,04/24/2017 04:40:00 PM,Columbia Rd,"Boston, MA",92,Massachusetts Ave,,
6384,04/25/2017 01:10:00 AM,Blue Hill Ave,"Boston, MA",92,Morton St,,
25190,04/21/2017 08:30:00 PM,Boston St,"Boston, MA",94,Dorchester Ave,,
18788,04/20/2017 03:20:00 PM,Francis St,"Boston, MA",69,Brookline Ave,,
32805,04/23/2017 02:50:00 PM,Causeway St,"Boston, MA",108,Commercial St,,
5944,04/25/2017 12:00:00 AM,Bowdoin St,"Boston, MA",123,Winter St,Downtown,
15802,04/19/2017 09:20:00 PM,Massachusetts Ave,"Boston, MA",126,Tremont St,,
5159,04/24/2017 09:30:00 PM,to I-93 N / US-1 N / Tobin Brg,"Boston, MA",103,to I- 93 N / US-1 N / Tobin Brg / Concord NH,,
30810,04/23/2017 12:30:00 AM,Arlington St,"Boston, MA",128,Herald St,South End,Hyde Park
20192,04/20/2017 09:10:00 PM,Herald St,"Boston, MA",628,Albany St,,South End
26993,04/22/2017 03:30:00 AM,Westland Ave,"Boston, MA",91,Massachusetts Ave,,Fenway/Kenmore
30312,04/22/2017 10:50:00 PM,Morton St,"Boston, MA",72,Norfolk St,,
733,04/24/2017 02:10:00 AM,Talbot Ave,"Boston, MA",84,Dorchester Ave,,
32903,04/23/2017 03:20:00 PM,Hyde Park Ave,"Boston, MA",76,Florian St,Roslindale,
28079,04/22/2017 11:00:00 AM,Brookline Ave,"Boston, MA",61,Commonwealth Ave,,
18529,04/20/2017 01:50:00 PM,A St,"Boston, MA",183,Congress St,,D Street / West Broadway
16113,04/19/2017 10:40:00 PM,Williams St,"Boston, MA",125,Washington St,,Roxbury
6976,04/25/2017 03:50:00 AM,Huntington Ave,"Boston, MA",86,Evans Way,Fenway/Kenmore,
31472,04/23/2017 02:40:00 AM,Hanover St,"Boston, MA",344,Congress St,,
15063,04/19/2017 07:30:00 PM,Humboldt Ave,"Boston, MA",64,Walnut Ave,,Roxbury
19465,04/20/2017 06:20:00 PM,Massachusetts Ave,"Boston, MA",220,Columbia Rd,,
9463,04/25/2017 06:10:00 PM,N Harvard St,"Boston, MA",181,Gordon Rd,Lower Allston,
29616,04/22/2017 07:00:00 PM,N Beacon St,"Boston, MA",167,Cambridge St,,
30200,04/22/2017 10:20:00 PM,Blue Hill Ave,"Boston, MA",108,Harvard St,,
11746,04/19/2017 01:40:00 AM,Washington St,"Boston, MA",82,Harvard St,,
2274,04/24/2017 12:50:00 PM,N Beacon St,"Boston, MA",109,Leo M Birmingham Pkwy,,
2515,04/24/2017 01:30:00 PM,Blue Hill Ave,"Boston, MA",195,Stanwood St,Roxbury,
27750,04/22/2017 07:10:00 AM,Stuart St,"Boston, MA",144,Washington St,,
4695,04/24/2017 08:10:00 PM,Warren St,"Boston, MA",276,Harrison Ave,,Roxbury
33456,04/23/2017 06:10:00 PM,Francis St,"Boston, MA",-1,St Albans Rd,,
8570,04/25/2017 02:50:00 PM,Harrison Ave,"Boston, MA",115,E Newton St,South End,
33974,04/24/2017 12:00:00 AM,Washington St,"Boston, MA",94,Melnea Cass Blvd,,
4658,04/24/2017 08:00:00 PM,Harrison Ave,"Boston, MA",198,E Newton St,South End,
5841,04/24/2017 11:50:00 PM,W 2nd St,"Boston, MA",87,D St,South Boston,South Boston
11655,04/19/2017 01:10:00 AM,Essex St,"Boston, MA",187,Atlantic Ave,,
25935,04/22/2017 12:10:00 AM,Boylston St,"Boston, MA",551,Massachusetts Ave,,
1249,04/24/2017 04:50:00 AM,Geneva Ave,"Boston, MA",115,Blue Hill Ave,,
18184,04/20/2017 12:50:00 PM,Cummins Hwy,"Boston, MA",191,Harvard St,,
18875,04/20/2017 03:50:00 PM,Beacon St,"Boston, MA",749,Commonwealth Ave,,
26116,04/22/2017 12:50:00 AM,E Cottage St,"Boston, MA",70,Dudley St,,
28054,04/22/2017 10:10:00 AM,Massachusetts Ave,"Boston, MA",145,Magazine St,,
17824,04/20/2017 12:30:00 PM,Warren St,"Boston, MA",409,Harrison Ave,,Roxbury
22141,04/21/2017 04:50:00 AM,Adams St,"Boston, MA",120,Dix St,Dorchester,Stony Brook / Cleary Square
8508,04/25/2017 02:40:00 PM,Washington St,"Boston, MA",117,Hyde Park Ave,,
9258,04/25/2017 05:00:00 PM,High St,"Boston, MA",116,Purchase St,,Dorchester
11888,04/19/2017 02:30:00 AM,Huntington Ave,"Boston, MA",111,Longwood Ave,,
26850,04/22/2017 03:20:00 AM,Linden St,"Boston, MA",95,Brighton Ave,,Dorchester
24543,04/21/2017 05:50:00 PM,Commonwealth Ave,"Boston, MA",82,Brighton Ave,,
29605,04/22/2017 06:50:00 PM,to Cambridge / Somerville,"Boston, MA",123,Cambridge St,,Assembly Square
10770,04/25/2017 10:40:00 PM,Norfolk St,"Boston, MA",491,Blue Hill Ave,,
2833,04/24/2017 02:20:00 PM,Massachusetts Ave,"Boston, MA",100,Shawmut Ave,,
14772,04/19/2017 06:20:00 PM,Harrison Ave,"Boston, MA",141,W Malden St,South End,
24245,04/21/2017 04:40:00 PM,Boylston St,"Boston, MA",108,Massachusetts Ave,,
16329,04/20/2017 12:10:00 AM,Dorchester Ave,"Boston, MA",158,Centre Ave,Dorchester,
13939,04/19/2017 02:40:00 PM,Charles St,"Boston, MA",124,Leverett Cir,West End,Dorchester
9808,04/25/2017 07:30:00 PM,Adams St,"Boston, MA",89,Parkman St,Dorchester,Stony Brook / Cleary Square
21962,04/21/2017 04:00:00 AM,Marlborough St,"Boston, MA",77,Dartmouth St,,
4932,04/24/2017 08:50:00 PM,Adams St,"Boston, MA",179,Ashmont St,Dorchester,Stony Brook / Cleary Square
2566,04/24/2017 01:40:00 PM,Adams St,"Boston, MA",213,Gallivan Blvd,,Stony Brook / Cleary Square
19509,04/20/2017 06:30:00 PM,E 1st St,"Boston, MA",77,O St,South Boston,South Boston
20584,04/20/2017 10:10:00 PM,Berkeley St,"Boston, MA",255,to Storrow Dr W,,
20253,04/20/2017 09:20:00 PM,Harrison Ave,"Boston, MA",277,Dudley St,,
19235,04/20/2017 05:40:00 PM,Ruggles St,"Boston, MA",76,Tremont St,,
32119,04/23/2017 05:40:00 AM,Tremont St,"Boston, MA",70,Columbus Ave,,
12883,04/19/2017 11:50:00 AM,American Legion Hwy,"Boston, MA",89,Walk Hill St,,
27242,04/22/2017 04:10:00 AM,Massachusetts Ave,"Boston, MA",588,Commonwealth Ave,,
403,04/24/2017 01:00:00 AM,Tremont St,"Boston, MA",102,Columbus Ave,,
15420,04/19/2017 08:10:00 PM,Centre St,"Boston, MA",112,Spring St,Upper Washington / Spring Street,
25701,04/21/2017 10:40:00 PM,Albany St,"Boston, MA",138,E Brookline St,South End,
18903,04/20/2017 04:10:00 PM,W Broadway,"Boston, MA",90,Dorchester St,South Boston,
21110,04/21/2017 12:20:00 AM,W Broadway,"Boston, MA",178,Dorchester Ave,,
8161,04/25/2017 01:30:00 PM,Warren St,"Boston, MA",91,Wabon St,Roxbury,Roxbury
18557,04/20/2017 02:00:00 PM,Babson St,"Boston, MA",62,Norfolk St,,Mattapan
32126,04/23/2017 05:40:00 AM,Lamartine St,"Boston, MA",98,Centre St,,
8962,04/25/2017 04:10:00 PM,W Broadway,"Boston, MA",128,B St,Medford Street / The Neck,
8753,04/25/2017 03:30:00 PM,to I-93 N Boston / Cambridge,"Boston, MA",104,I-93 N,,
8215,04/25/2017 01:40:00 PM,N Harvard St,"Boston, MA",241,Cambridge St,,
18998,04/20/2017 04:50:00 PM,Bowdoin St,"Boston, MA",218,Cambridge St,,
18923,04/20/2017 04:10:00 PM,Warren St,"Boston, MA",71,Walnut Ave,,Roxbury
16780,04/20/2017 02:50:00 AM,Blue Hill Ave,"Boston, MA",66,Washington St,,
31696,04/23/2017 03:20:00 AM,Huntington Ave,"Boston, MA",126,Tremont St,,
22748,04/21/2017 12:00:00 PM,Washington St,"Boston, MA",122,Chestnut Hill Ave,Brighton,
10247,04/25/2017 09:00:00 PM,Huntington Ave,"Boston, MA",155,Frawley St,Mission Hill,
6377,04/25/2017 01:10:00 AM,Massachusetts Ave,"Boston, MA",502,Commonwealth Ave,,
19667,04/20/2017 07:10:00 PM,Blue Hill Ave,"Boston, MA",142,Dudley St,,
625,04/24/2017 01:50:00 AM,Westland Ave,"Boston, MA",83,Fenway,Fenway/Kenmore,Fenway/Kenmore
23285,04/21/2017 01:00:00 PM,Atlantic Ave,"Boston, MA",189,Summer St,,
9966,04/25/2017 08:00:00 PM,Hanover St,"Boston, MA",60,Congress St,,
29545,04/22/2017 06:40:00 PM,Bay State Rd,"Boston, MA",196,Raleigh St,Fenway/Kenmore,
14366,04/19/2017 04:30:00 PM,Charles St,"Boston, MA",93,Beacon St,,Dorchester
21641,04/21/2017 02:40:00 AM,Park St,"Boston, MA",62,Washington St,,
18856,04/20/2017 03:50:00 PM,Bowdoin St,"Boston, MA",86,Cambridge St,,
9353,04/25/2017 05:30:00 PM,Green St,"Boston, MA",135,Centre St,,Charlestown
4793,04/24/2017 08:20:00 PM,Frontage Rd,"Boston, MA",177,Mass Ave Connector,,
33694,04/23/2017 07:30:00 PM,Hancock St,"Boston, MA",192,Dorchester Ave,,Charlestown
19502,04/20/2017 06:30:00 PM,Park St,"Boston, MA",92,Tremont St,,
16815,04/20/2017 03:00:00 AM,Atlantic Ave,"Boston, MA",65,Commercial St,,
30634,04/23/2017 12:00:00 AM,Amory St,"Boston, MA",72,Green St,Charlestown,
27130,04/22/2017 04:00:00 AM,Boylston St,"Boston, MA",222,Massachusetts Ave,,
236,04/24/2017 12:30:00 AM,Washington St,"Boston, MA",75,Poplar St,,
18444,04/20/2017 01:30:00 PM,Seaver St,"Boston, MA",200,Humboldt Ave,Roxbury,Roxbury
17794,04/20/2017 12:20:00 PM,E 1st St,"Boston, MA",85,L St,South Boston,South Boston
28404,04/22/2017 02:50:00 PM,W Broadway,"Boston, MA",82,Dorchester Ave,,
25296,04/21/2017 09:00:00 PM,I-93 N,"Boston, MA",278,I-93 N,,
9264,04/25/2017 05:10:00 PM,Longwood Ave,"Boston, MA",220,Riverway,,
10834,04/25/2017 10:50:00 PM,Shawmut Ave,"Boston, MA",209,Herald St,South End,
16076,04/19/2017 10:30:00 PM,William T Morrissey Blvd,"Boston, MA",212,Freeport St,Dorchester,
24944,04/21/2017 07:20:00 PM,Columbia Rd,"Boston, MA",87,Blue Hill Ave,,
19004,04/20/2017 04:50:00 PM,Melnea Cass Blvd,"Boston, MA",159,Massachusetts Ave,,
16289,04/19/2017 11:50:00 PM,Cummins Hwy,"Boston, MA",376,Washington St,,
1311,04/24/2017 05:30:00 AM,Washington St,"Boston, MA",101,South St,Downtown,
11685,04/19/2017 01:20:00 AM,Bowdoin St,"Boston, MA",140,Harvard St,,
20528,04/20/2017 10:00:00 PM,William T Morrissey Blvd,"Boston, MA",156,Freeport St,Dorchester,
19394,04/20/2017 06:10:00 PM,N Beacon St,"Boston, MA",62,Cambridge St,,
17081,04/20/2017 04:20:00 AM,Francis St,"Boston, MA",63,Huntington Ave,,
22269,04/21/2017 05:50:00 AM,William T Morrissey Blvd,"Boston, MA",60,Freeport St,Dorchester,
14755,04/19/2017 06:10:00 PM,Cambridge St,"Boston, MA",419,to Storrow Dr E / I-93 / US-1 / MA-3,,
29257,04/22/2017 05:30:00 PM,Huntington Ave,"Boston, MA",75,Gainsborough St,Fenway/Kenmore,
23003,04/21/2017 12:30:00 PM,Washington St,"Boston, MA",80,Gallivan Blvd,,
4551,04/24/2017 07:40:00 PM,American Legion Hwy,"Boston, MA",137,Walk Hill St,,
15203,04/19/2017 07:40:00 PM,Beacon St,"Boston, MA",124,Tremont St,,
8087,04/25/2017 01:10:00 PM,Forest Hills St,"Boston, MA",187,Glen Rd,,
29232,04/22/2017 05:30:00 PM,Washington St,"Boston, MA",130,Malcolm 'X' Blvd,Roxbury,
26946,04/22/2017 03:30:00 AM,Talbot Ave,"Boston, MA",205,Dorchester Ave,,
17536,04/20/2017 11:50:00 AM,Essex St,"Boston, MA",80,Atlantic Ave,,
1452,04/24/2017 06:50:00 AM,Enneking Pkwy,"Boston, MA",109,Washington St,,
27307,04/22/2017 04:20:00 AM,Amory St,"Boston, MA",61,Williams St,Roxbury,
1030,04/24/2017 03:30:00 AM,Boylston St,"Boston, MA",169,Berkeley St,,
14890,04/19/2017 06:40:00 PM,Park St,"Boston, MA",80,Adams St,Stony Brook / Cleary Square,
15850,04/19/2017 09:30:00 PM,Park St,"Boston, MA",93,Freeport St,Dorchester,
9857,04/25/2017 07:40:00 PM,Adams St,"Boston, MA",61,Parkman St,Dorchester,Stony Brook / Cleary Square
30013,04/22/2017 09:00:00 PM,Berkeley St,"Boston, MA",96,to Storrow Dr W,,
22458,04/21/2017 07:50:00 AM,Harvard Ave,"Boston, MA",62,Cambridge St,,Allston
1262,04/24/2017 04:50:00 AM,Hyde Park Ave,"Boston, MA",70,Northbourne Rd,Roslindale,
19587,04/20/2017 06:50:00 PM,Harrison Ave,"Boston, MA",80,Massachusetts Ave,,
6991,04/25/2017 03:50:00 AM,Adams St,"Boston, MA",89,Parkman St,Dorchester,Stony Brook / Cleary Square
32784,04/23/2017 02:40:00 PM,Blue Hill Ave,"Boston, MA",67,Geneva Ave,,
13117,04/19/2017 12:20:00 PM,American Legion Hwy,"Boston, MA",130,Walk Hill St,,
27358,04/22/2017 04:30:00 AM,Frontage Rd,"Boston, MA",117,Boston St,,
11921,04/19/2017 02:40:00 AM,Charlesgate,"Boston, MA",152,to Downtown Boston / US-1 N,,
5612,04/24/2017 11:00:00 PM,Lamartine St,"Boston, MA",80,New Minton St,Jamaica Plain,
25761,04/21/2017 11:00:00 PM,Beacon St,"Boston, MA",72,Tremont St,,
28023,04/22/2017 09:40:00 AM,Massachusetts Ave,"Boston, MA",221,Theodore Glynn Way,Dorchester,
8261,04/25/2017 01:50:00 PM,Blue Hill Ave,"Boston, MA",143,Morton St,,
30373,04/22/2017 11:10:00 PM,N Harvard St,"Boston, MA",100,Western Ave,,
8792,04/25/2017 03:40:00 PM,Cummins Hwy,"Boston, MA",197,Washington St,,
