int_date,live1,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,marital,par,kidage1,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit
31516,2,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,1,47,1,1,0,8,1,9,S,39,0.3333333333,0,0,0,0.0303030303,0,0,0
31716,3,1,0,1,1,0,0.5,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,51,1,2,0,5,3,6,S,53,0,0,0,0,0.0101010101,0,0.25,0
40116,1,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,2,62,1,2,0,8,3,7,S,6,0.3333333333,0,0.3333333333,0.2222222222,0.1212121212,0.5,1,0
40316,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.5,1,42,2,1,0,8,1,9,U,36,0.5555555556,0,0,0.2222222222,0.5050505051,0.125,0.25,0.25
40116,1,1,1,1,2,1,1,1,1,1,0,2,3,0,0,0,0,0,0,0,1,0,1,18,6,2,0,4,1,2,S,6,0.3333333333,0.1666666667,0.6666666667,0.6666666667,0.0606060606,0,0,0
31116,4,1,1,1,8,1,1,1,0,0,0,1,3,0,0,0,1,1,0,1,1,0,1,16,6,2,0,2,4,8,R,4,0.6666666667,0.5,0,0.3333333333,0.101010101,0.125,0,0
32816,2,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,0,0.5,0,1,52,3,2,0,6,1,4,S,44,0,0,0,0,0.202020202,0.375,0,0
32616,3,1,1,1,2,1,1,1,1,0,1,2,2,1,0,0,0,0,0,0,1,0,1,76,1,2,0,8,2,9,S,45,0,0,0,0.5555555556,0.0303030303,0,0,0
31716,3,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,95,5,2,0,3,3,98,S,26,0,0,0,0,0,0,0,0
40216,1,1,1,1,2,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,43,3,1,0,6,1,5,U,36,0,0,0,0.6666666667,0.1212121212,0,0,0
31616,4,1,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,60,1,1,0,6,1,8,R,19,0,0,0.5555555556,0.2222222222,0.1515151515,0.375,1,0
31816,3,1,1,1,2,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,1,51,4,1,0,3,2,1,R,12,0,0,0.3333333333,0,0,0,0,0
31716,2,1,1,1,2,1,1,1,1,1,0,1,3,1,0,0,1,0,0,1,1,0,1,26,6,2,0,8,7,4,S,25,0.1111111111,0,0,0.1111111111,0.1515151515,0.5,0,0
33116,1,1,1,1,2,1,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,50,1,2,0,98,3,3,U,16,0,0,0,0.1111111111,0,0,0,0
32616,3,1,1,1,2,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0,2,63,1,2,0,4,3,6,S,40,0.6666666667,0,0,0.3333333333,0.9797979798,0,0,0
31216,2,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,62,3,2,0,4,3,3,S,36,0,0,0,0,0,0.5,0,0
32916,2,1,0,1,2,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0.5,0,2,32,6,2,0,6,1,3,S,39,0,0,0.3333333333,0.1111111111,0.5050505051,0.25,0.5,0
32416,2,1,1,1,2,1,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0,2,55,3,2,0,3,4,2,S,4,0,0,0,0.2222222222,0.0101010101,0,0,0
40116,3,1,1,1,2,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,30,4,1,1,2,1,1,S,35,0,0,0,0.1111111111,0,0,0,0
40216,1,1,1,1,2,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0.5,0,2,45,1,2,0,6,1,6,S,6,0,0,0,0,0.101010101,0.5,1,0
31016,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,84,5,2,0,3,3,99,R,51,0,0,0,0,0,0,0,0
30716,4,1,1,1,2,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0.5,2,26,1,2,0,6,4,98,S,40,0,0.1666666667,0.5555555556,0.1111111111,0.0404040404,0.5,1,0
40316,2,1,1,1,2,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0.5,1,52,1,1,0,6,1,9,S,51,0.1111111111,0,0,0.3333333333,0.9797979798,0,0,0
33016,1,1,1,1,2,0,0.5,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,2,57,3,2,0,4,8,2,U,6,0,0,0.3333333333,0.2222222222,0.9797979798,0.375,0.75,1
31016,2,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,1,87,1,2,0,8,3,3,S,12,0,0,0,0,0.0909090909,0,0,0
33016,1,0,1,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,1,47,1,2,0,4,5,2,U,4,0,0,0,0,0,0,0,0
40216,2,1,1,1,2,1,1,1,1,0,0,1,3,1,1,0,1,0,0,0,0.5,0,1,62,1,2,0,6,1,9,U,6,0,0,0,0,0.1515151515,0.5,0,0
31316,3,1,1,1,2,1,1,1,1,0,0,2,3,1,0,0,0,0,0,0,1,0,1,42,1,1,0,6,1,8,S,53,0.3333333333,0.1666666667,0.5555555556,0.1111111111,0.0101010101,0,0,0
40216,2,1,1,1,2,1,1,1,1,1,1,2,3,1,0,0,0,0,0,0,0.5,0,1,67,1,2,0,6,1,7,S,12,0,0,0,0.2222222222,0.0505050505,0,0,0
40216,3,1,1,1,4,1,0.5,1,1,0,0,3,2,0,0,0,0,0,0,0,0.5,0.5,1,60,1,2,0,3,1,5,U,19,0,0,0,0.6666666667,0.0202020202,0,0,0
32816,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0.5,1,48,3,2,0,3,2,2,R,18,0,0,0,0,0,0,0,0
40216,1,1,0,1,2,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,1,76,1,2,0,4,3,7,S,17,0,0,0,0,0.5050505051,0.5,0,0
40116,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,2,39,1,1,0,6,1,5,U,39,0.3333333333,0.3333333333,0,0.2222222222,0.101010101,0.375,0.25,0.75
32216,4,1,0,1,2,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0.5,0,2,71,6,2,0,7,3,5,S,48,0,0,0,0,0,0,0,0
40216,3,1,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,1,1,68,5,2,0,2,4,4,R,48,0,0,0,0,0.0606060606,0,0,0
33016,4,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0.5,1,48,3,2,0,2,1,7,S,48,0,0.3333333333,0,0.1111111111,1,0.25,0.25,0.25
31016,2,1,1,1,2,1,1,1,1,1,1,1,2,0,1,0,0,1,1,1,0.5,0,2,50,2,2,0,8,1,9,S,51,0,0,0,0.6666666667,0.2525252525,0.5,0,0
32616,1,1,1,1,2,1,1,1,1,1,1,2,3,1,0,0,0,0,0,0,1,0,1,72,3,2,0,6,1,6,U,40,0,0,0,0.1111111111,0.5050505051,0,0,0
31016,4,1,1,0,0,1,0,1,1,0,0,1,3,1,1,0,1,0,0,1,0.5,0,1,46,1,1,0,4,1,99,R,5,0,0,0,0.6666666667,0.0505050505,0.375,0,0
31516,3,1,1,1,2,1,1,1,1,0,1,1,3,1,0,0,0,0,0,0,1,0,2,69,1,2,0,8,3,8,S,12,0,0,0,0.1111111111,0.5050505051,0.5,0,0
40216,1,1,0,1,2,1,1,1,1,1,0,2,3,1,0,0,0,0,0,0,1,0,2,79,3,2,0,8,3,6,U,4,0,0,0,0.2222222222,0.0505050505,0,0,0
32616,3,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,57,5,1,0,8,1,9,S,47,0,0.5,0,0.3333333333,0.1515151515,0.375,1,0
31116,1,1,1,1,2,1,0.5,1,1,0,0,2,2,0,0,0,0,0,0,0,0.5,0,2,26,6,2,0,8,1,6,U,37,0,0.5,0,0,0.0404040404,0,0,0
32816,3,1,1,1,2,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.5,0,1,45,1,1,0,6,1,8,S,45,0,0,0,0.3333333333,0.0606060606,0.5,1,0
32016,3,0,0,0,0,0,0,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,2,73,5,2,0,3,2,2,R,39,0,0,0,0,0.7575757576,0.375,0,0
40416,4,1,0,1,2,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,81,1,2,0,8,3,8,S,51,0,0,0,0,0.0404040404,0.25,1,0
32816,2,1,0,1,2,0,1,1,1,0,0,2,3,1,0,0,0,0,0,0,1,0.5,2,73,5,2,0,4,3,3,S,6,0,0,0,0.2222222222,0.101010101,0,0,0
32716,3,1,1,1,1,1,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0.5,2,17,6,2,0,2,4,4,U,36,0.6666666667,1,0.6666666667,0.1111111111,0.0404040404,0,0,0
32316,3,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,1,60,1,2,0,6,1,9,U,32,0,0,0,0,0.0202020202,0,0,0
32916,2,1,0,1,2,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0.5,0,2,83,1,2,0,8,3,7,S,23,0,0,0,0,0.0505050505,0.5,1,0
31716,3,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,2,76,5,2,0,4,3,1,R,37,0,0,0,0,0.303030303,0.5,0,0
31216,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,30,6,2,0,3,1,1,S,22,0,0,0,0,0.5050505051,0.5,0,0
31216,4,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,2,57,1,1,0,8,1,6,R,30,0,0,0,0.6666666667,0.0303030303,0.5,1,0
33016,1,1,1,1,2,1,0,1,0,1,1,1,3,0,0,1,1,0,0,0,0.5,0,1,98,6,2,0,6,1,99,U,55,0.2222222222,0,0,0.1111111111,0.0606060606,0.375,0,0
31816,3,1,1,1,2,1,0,1,1,0,0,1,3,0,1,0,1,0,0,0,0.5,0,1,20,6,2,0,3,2,6,S,25,0,0,0,0,0.0606060606,0.5,0,0
32016,2,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,53,6,2,0,8,1,6,U,29,0,0,0,0,0.1515151515,0.5,0.75,0
31816,2,1,0,1,2,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,61,1,1,0,4,1,4,S,36,0,0,0,0,0,0.125,0,0
40316,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,2,60,5,1,0,5,3,3,S,42,0,0,0,0,0.0101010101,0.25,1,0
31216,4,1,0,1,2,1,1,1,1,0,1,3,3,1,0,0,0,0,0,0,1,0.5,1,54,1,2,0,4,1,6,R,12,0,0,0,0,0.0404040404,0,0,0
32916,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0.5,0,2,52,1,2,0,8,1,8,S,34,0.1111111111,0.3333333333,0.3333333333,0.1111111111,0.7575757576,0.375,0.25,0.75
31716,3,1,1,1,2,1,0,1,1,1,0,3,3,1,0,0,0,0,0,0,0,0,1,66,1,2,0,8,3,5,S,19,0,0,0,0,0.0101010101,0,0,0
32016,3,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,2,53,6,2,0,3,6,2,U,36,0,0,0,0.1111111111,0,0,0,0
32916,3,1,1,1,2,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,2,40,3,1,1,5,2,2,R,21,0,0,0,0.3333333333,0.5050505051,0.25,0.25,0
32016,4,1,1,1,2,1,1,1,0,0,1,3,3,0,0,0,0,0,0,0,1,0,2,56,1,2,0,7,1,5,U,13,0,0,0.3333333333,0.2222222222,0.1212121212,0,0,0
40316,3,1,1,1,2,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.5,0.5,1,31,2,2,0,4,4,5,R,20,0,0.1666666667,0,0.1111111111,0.0101010101,0,0,0
32616,1,1,1,1,2,0,1,1,1,0,0,1,3,1,1,1,0,0,1,0,0,0,2,74,5,2,0,8,3,6,U,48,0,0,0,0.5555555556,0.0505050505,0.5,0,0
32816,3,0,1,1,2,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,51,1,2,0,4,4,3,U,26,0.3333333333,0,0,0.1111111111,0.0404040404,0,1,0
32116,1,1,1,1,2,1,1,1,1,0,1,1,3,0,1,1,0,0,0,0,0,0,2,41,6,1,0,3,2,3,S,34,0,0,0,0.1111111111,0.0404040404,0.5,0,0
31116,3,1,1,1,3,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,1,64,1,2,0,8,1,8,U,37,0,0,0,0.2222222222,0.0202020202,0,0,0
31316,4,1,1,1,2,1,1,1,0,0,0,1,3,1,0,0,0,1,1,0,1,0.5,1,57,6,2,0,8,1,98,S,6,0,0,0,0,0,0.5,0,0
40216,3,1,1,1,2,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,1,1,25,6,2,0,8,1,3,R,30,0,0,0,0.5555555556,0,0,0,0
40316,2,1,1,1,2,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,27,3,1,0,6,3,6,U,48,0.6666666667,0.8333333333,0.5555555556,0,0,0,1,0
31616,1,1,1,1,2,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0.5,0.5,1,33,6,2,0,4,1,6,U,48,0.2222222222,0.1666666667,0,0.2222222222,0.303030303,0,0,0
31316,1,1,1,1,2,1,1,1,1,0,1,3,1,1,0,0,0,0,0,0,0,0,2,46,1,1,1,6,4,7,U,36,0.2222222222,0.3333333333,0.2222222222,0.1111111111,0.0505050505,0,0.75,0.75
31716,2,1,1,1,2,1,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0.5,0.5,1,52,3,1,0,8,1,8,S,13,0,0,0,0,0.0202020202,0,0,0
32616,1,1,1,1,2,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,2,42,3,1,0,6,1,99,S,6,0,0,0,0.1111111111,0.0404040404,0.5,1,0
31316,3,1,1,1,2,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0.5,2,39,3,1,2,3,1,4,S,12,0,0,0,0.2222222222,0,0,0,0
31916,3,1,1,1,2,1,1,1,1,0,1,1,3,1,0,0,0,0,0,0,0.5,0,2,63,1,2,0,6,1,8,R,46,0.6666666667,0.8333333333,0.5555555556,0.1111111111,0.0404040404,0.5,0,0
30716,4,1,1,1,2,1,1,1,1,0,1,1,3,1,1,0,1,0,0,0,0,0,2,59,1,1,0,8,1,6,S,23,0,0,0.3333333333,0.1111111111,0.0707070707,0.5,0,0
30716,3,1,0,1,2,0,0,1,1,0,0,2,1,1,0,0,0,0,0,1,0.5,0.5,1,90,5,2,0,5,4,5,R,42,0,0,0,0,0.0404040404,0,1,0
