int_date,live1,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,marital,par,kidage1,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit
40216,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,2,58,3,2,0,4,2,3,U,13,0,0,0,0,0.0303030303,0.125,0.5,0.75
31516,4,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,2,57,1,2,0,3,1,6,R,36,0,0,0,0,0.2424242424,0.25,1,0
31216,4,1,0,1,4,0,0,1,1,0,0,1,3,0,1,1,0,0,0,0,0,0,2,67,1,2,0,3,3,4,R,19,0,0.8333333333,0.6666666667,0.1111111111,0.5050505051,0.375,0,0
31516,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,2,28,6,2,0,6,1,6,S,34,0.5555555556,0.8333333333,0.5555555556,0.2222222222,0.303030303,0.25,0.75,0
31316,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,62,1,2,0,3,3,4,U,1,0,0,0,0,0,0,0,0
32016,4,1,0,1,2,0,0,1,1,0,0,1,2,0,1,1,0,1,0,0,0,0,1,72,2,2,0,6,1,98,R,50,0,0,0,0.6666666667,0.5252525253,0.25,0,0
32016,2,1,1,1,2,1,0,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0,2,61,3,2,0,3,3,6,S,47,0.6666666667,0,0.3333333333,0.1111111111,0.0202020202,0,0,0
40316,3,1,1,1,2,1,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0.5,0,1,35,2,2,0,4,1,7,U,47,0.6666666667,0.1666666667,0.6666666667,0.2222222222,0.0404040404,0,0,0
31216,3,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,1,53,1,2,0,3,6,4,R,19,0,0,0,0,0.0101010101,0.375,0,0
33016,4,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,2,50,1,1,0,6,2,9,S,33,0,0,0,0.2222222222,0.0303030303,0,0,0
31116,4,1,1,1,2,1,1,1,1,0,1,1,3,1,1,0,0,0,1,1,0,0,2,62,1,2,0,8,3,6,S,45,0,0,0.2222222222,0.2222222222,0.1212121212,0.375,0,0
40116,3,1,1,1,2,0,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0,1,63,1,2,0,8,1,7,R,29,0,0.5,0.2222222222,0.2222222222,0.0606060606,0,0,0
32516,2,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,2,61,1,2,0,3,3,8,U,48,0,0,0.5555555556,0.1111111111,0.0303030303,0.5,1,1
33016,2,1,1,1,2,1,0.5,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0.5,1,38,2,1,0,5,1,8,S,41,0,0,0,0,0.0202020202,0,0,0
40116,2,1,1,1,2,1,1,1,1,0,1,1,3,0,0,0,0,1,1,1,0.5,0,1,65,1,2,0,8,4,9,S,25,0,0,0,0,0.202020202,0.125,0,0
30716,3,1,1,1,2,1,0,1,1,0,1,3,3,0,0,0,0,0,0,0,0.5,0.5,1,21,6,2,0,3,1,2,U,45,0,0,0,0.3333333333,0.0404040404,0,0,0
32016,3,1,0,1,2,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,2,73,5,2,0,8,3,99,S,48,0,0,0,0.5555555556,0.202020202,0.125,0.75,0
31216,2,1,1,1,2,0,0,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,2,54,1,2,0,5,1,8,S,9,0,0,0.5555555556,0.3333333333,0.1212121212,0,0.75,0
31916,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,42,1,1,0,8,1,9,S,39,0,0,0,0.6666666667,0.101010101,0.375,0.75,0.75
32116,1,1,1,1,5,1,0,0,0,0,1,1,2,1,1,1,0,0,0,1,0.5,0,1,59,5,2,0,4,4,2,U,17,0,0,0,0.1111111111,0.101010101,0.375,0,1
31016,1,1,1,1,2,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,0,1,79,3,2,0,4,3,2,U,12,0,0,0,0,0.9898989899,0,0,0
31816,1,1,1,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,1,19,6,2,0,3,2,3,S,12,0,0.1666666667,0,0.1111111111,0,0.375,1,0
33116,4,1,1,1,2,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,2,61,1,2,0,6,1,7,R,29,0,0,0,0.3333333333,0.101010101,0.25,0.75,0
32716,3,0,0,0,0,1,0.5,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0,2,64,5,2,0,3,1,3,U,48,0,0,0,0,0.0606060606,0.375,0,0
31616,1,0,0,0,0,0,1,0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,2,83,5,2,0,4,3,5,U,48,0,0,0,0,0.0303030303,0,0,0
31816,1,0,0,0,0,0,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0.5,0.5,1,79,1,2,0,3,3,4,U,20,0,0,0,0,0.0202020202,0,0,0
31216,2,1,1,1,2,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,2,69,1,2,0,8,3,7,S,42,0,0,0.2222222222,0.2222222222,0.1212121212,0.375,0.75,0.75
32716,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0.5,0,2,37,6,1,0,8,1,6,U,18,0,1,0,1,0,0.5,1,0
40416,2,1,1,1,2,1,1,1,1,0,0,2,2,1,0,0,0,0,0,0,0.5,0,2,59,1,2,0,8,1,9,U,51,0,0,0,0,0.0303030303,0,0,0
40216,3,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,2,41,4,1,0,4,1,6,S,29,0.1111111111,0.8333333333,0.3333333333,0.1111111111,0.0303030303,0.5,1,0
32816,3,1,1,1,2,1,1,1,0,0,1,2,3,1,0,0,0,0,0,0,0.5,0,2,37,1,1,0,6,1,7,U,46,0.2222222222,0,0.2222222222,0.2222222222,0.9797979798,0,0,0
32616,3,1,1,0,0,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,1,2,52,4,2,0,1,6,1,S,48,0,0,0,0.3333333333,0,0,0,0
40416,2,1,1,1,2,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,57,1,2,0,8,1,9,S,6,0,0,0,0,0.0808080808,0.125,1,0
32416,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,2,88,5,2,0,3,3,5,S,39,0,0,0,0,0.0606060606,0,0,0
40316,2,1,1,1,2,1,0,1,1,0,0,1,3,0,1,0,0,0,0,1,0.5,0.5,2,60,3,2,0,8,1,99,U,17,0,0,0,0.6666666667,0.202020202,0.375,0,0
30916,3,1,1,1,2,1,1,1,0,0,0,3,3,1,0,0,0,0,0,0,0.5,0,1,60,1,2,0,8,5,9,S,8,0,0,0,0.2222222222,0,0,0,0
32116,2,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,1,2,31,6,2,0,6,1,7,S,51,0.1111111111,0.5,0.3333333333,0.3333333333,0.0606060606,0,0,0
40116,2,1,1,1,2,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0.5,1,20,6,2,0,4,1,9,S,17,0.3333333333,0.5,0,0.1111111111,0.0606060606,0.375,1,0
31616,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,69,1,2,0,8,3,9,U,53,0,0,0,0.3333333333,0.1212121212,0.5,0.75,1
32816,2,1,1,1,2,1,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,35,6,2,0,4,1,3,S,12,0,0.3333333333,0,0.1111111111,0,0,0,0
33116,3,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,1,70,6,2,0,3,3,2,S,13,0,0,0,0,0.1414141414,0,0,0
32316,2,1,1,1,2,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0.5,0,2,41,3,1,0,5,1,5,S,39,0,0,0,0.3333333333,0.0303030303,0.5,1,0
32516,3,1,1,1,2,1,0.5,1,0,0,0,3,3,0,0,0,0,0,0,0,1,0,1,30,6,2,0,3,1,99,U,48,0,0,0.5555555556,0.1111111111,0,0,0,0
32316,3,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0.5,0,2,62,4,2,0,5,4,8,U,6,0.5555555556,0,0,0.1111111111,0.0404040404,0.25,1,1
30716,3,1,1,1,2,1,0,0,1,0,0,1,3,0,1,0,1,0,1,0,0.5,0,2,50,1,2,0,5,6,6,U,4,0,0,0,0.1111111111,0.0202020202,0.5,0,0
32616,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,2,79,1,2,0,1,3,99,R,55,0,0,0,0,0,0,0,0
40216,3,1,1,1,8,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,0.5,1,19,6,2,0,3,2,4,S,26,0.1111111111,0.3333333333,0.8888888889,0.2222222222,0,0,0,0
32216,1,1,1,1,3,1,1,1,1,1,0,1,3,0,0,0,0,0,0,0,1,0,1,17,2,2,0,1,1,9,U,6,0,0,0,0,0.9797979798,0.5,0,0
40216,4,1,1,1,2,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0.5,0,1,20,2,1,1,3,2,3,R,36,0,0,0.3333333333,0.2222222222,0,0,0,0
31716,3,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,1,68,6,2,0,6,3,99,S,12,0,0,0.5555555556,0,0.0303030303,0,0,0
31216,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2,70,3,2,0,4,3,6,S,53,0,0,1,0.3333333333,0.5050505051,0.125,0.25,0
30716,2,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0.5,0,2,58,6,2,0,6,1,99,S,27,0.5555555556,0,0.6666666667,0.3333333333,0.303030303,0.25,0.25,0
40216,2,1,0,1,2,0,0,1,1,0,0,1,3,1,0,0,1,0,0,1,0.5,0,1,48,3,1,0,5,1,4,S,25,0,0,0,0.1111111111,0.101010101,0.125,0,0
32916,1,1,1,1,2,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,2,83,5,2,0,5,3,99,S,12,0,0,0,0.2222222222,0.5050505051,0.5,0,0
32616,2,1,1,1,2,1,1,1,1,0,1,2,1,0,0,0,0,0,0,0,1,0.5,1,21,6,2,0,4,4,7,S,34,0.1111111111,0.5,0,0.1111111111,0.2525252525,0,1,0
31516,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,46,6,2,0,3,4,1,S,25,0,0,0,0,0,0,0,0
31316,4,1,1,1,2,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,0.5,2,33,1,1,0,3,1,6,S,26,0,0,0,0.1111111111,0,0,0,0
31716,2,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,72,1,2,0,8,8,4,U,42,0.2222222222,1,0.6666666667,0.2222222222,0.1515151515,0.5,1,1
32616,3,1,1,0,0,1,1,1,1,0,0,2,3,1,0,0,0,0,0,0,1,0.5,1,99,6,2,0,3,2,99,S,36,0.2222222222,0,0,0.1111111111,0.0101010101,0,0,0
31116,3,1,1,1,2,1,1,1,1,0,1,2,2,0,0,0,0,0,0,0,1,0.5,1,39,1,1,0,6,1,6,R,19,0,0,0,0.1111111111,0.101010101,0,0,0
32516,4,1,1,1,2,1,0,1,0,0,0,2,3,1,0,0,0,0,0,0,1,0,1,49,3,2,0,3,1,6,R,23,0,0,0,0.1111111111,0,0,0,0
31316,2,0,1,1,2,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,70,1,2,0,8,1,6,U,35,0,0,0,0,0,0.5,0.75,0
40316,2,1,1,1,2,1,1,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,1,36,1,2,0,5,3,6,R,37,0,0,0,0.3333333333,0.0505050505,0,0,0
32816,3,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,2,60,1,2,0,8,3,8,R,2,0,0,0,0,0.0505050505,0.5,0.5,0
30716,3,1,1,1,2,1,0,1,1,0,1,2,1,0,0,0,0,0,0,1,0.5,0,1,24,6,2,0,6,1,7,S,17,0,0,0,0.2222222222,0.0505050505,0,1,0
32816,2,1,1,1,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,1,59,1,2,0,5,3,6,S,13,0,0,0,0.2222222222,0,0,0,0
33016,2,1,0,1,2,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0.5,0,1,70,1,2,0,8,3,7,S,51,0,0,0,0.3333333333,0.1212121212,0.5,1,0
31816,2,1,1,1,2,1,0,1,0,0,0,1,3,1,0,1,0,0,0,0,1,0.5,1,21,6,2,0,6,1,9,S,24,0.1111111111,0.1666666667,0.6666666667,0.1111111111,0,0.5,0,0
32116,1,1,1,1,2,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0.5,0,2,56,1,1,0,6,1,9,U,48,0,0.3333333333,0.5555555556,0.5555555556,0.101010101,0.5,1,0
32616,3,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,55,3,2,0,3,6,2,R,18,0,0,0,0,0.0404040404,0,0,0
31316,3,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0.5,0,2,62,6,2,0,5,6,1,R,17,0,0,0,0,0,0.5,0,0
32216,3,1,1,1,4,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,1,2,20,6,2,0,4,4,7,S,18,0,0,0,0.1111111111,0,0,1,0
33116,2,1,1,1,2,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,19,6,2,0,3,4,3,U,6,0.3333333333,0.1666666667,0.3333333333,0,0,0,0,0
31716,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,64,1,2,0,6,3,8,S,18,0,0,0,0.3333333333,0.2525252525,0.5,0.5,0
30716,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,2,34,1,1,2,6,4,8,S,39,0.3333333333,0.1666666667,0.2222222222,0.2222222222,0.0202020202,0.25,1,0
33116,2,1,1,1,2,1,0.5,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,1,20,6,2,0,3,1,3,S,24,0,1,0,0.1111111111,0.1616161616,0,0,0
31916,2,1,1,1,2,1,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0.5,0.5,1,46,1,1,0,5,1,9,S,18,0.2222222222,0.1666666667,0,0.1111111111,0.0202020202,0,0,0
32816,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2,45,1,1,0,6,4,7,S,8,0,0,0.3333333333,0.2222222222,0.3838383838,0.25,0.25,0.25
31216,2,1,0,1,2,1,0,1,1,0,0,1,3,1,0,1,0,0,0,0,1,0,2,70,1,2,0,8,3,6,S,37,0,0,0,0,0.0303030303,0.5,0,0
32616,2,1,1,1,2,1,1,1,1,0,0,1,3,1,1,0,0,0,0,0,0.5,0,1,40,1,1,2,6,1,9,S,47,0,0,0,0.1111111111,0.5050505051,0.25,0,0
32916,2,1,1,1,2,1,1,1,0,0,0,1,3,0,1,1,1,0,0,1,0,0,1,54,1,1,1,6,1,9,S,6,0.1111111111,0.1666666667,0.3333333333,0.1111111111,0,0.375,0,0
31016,1,1,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,2,50,1,2,0,3,1,99,U,17,0,0,0,0.5555555556,0,0,0,0
31116,3,1,1,1,2,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0.5,1,25,6,2,0,3,1,6,S,48,0,0,0,0.1111111111,0,0.5,0,0
32916,3,1,1,1,2,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0.5,0,1,52,3,1,0,2,2,3,R,1,0,0,0,0.3333333333,0,0,0,0
