id,int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,par,Kidage_17,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
66,40215,2,1,1,1,1,2,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0.5,23,6,2,0,6,2,2,S,6,0,0.2222222222,0,0.1666666667,0.0515463918,0.375,0.8,0.5,0,0,0,0.99,0.01,0
130,40215,2,1,1,1,1,1,1,0,1,1,0,1,1,3,0,1,0,1,0,0,1,0.5,0,16,6,2,0,2,4,3,U,42,0.1111111111,0.1111111111,0,0.1666666667,0.0515463918,0.375,0,0,0,0,0,0.99,0.01,0
63,40515,1,1,1,1,1,2,1,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,25,6,2,0,8,1,6,U,36,0.1111111111,0,0,0.3333333333,0.0412371134,0.5,0,0,0,0,0,0.99,0,0
163,32115,2,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,34,1,1,3,8,4,99,S,48,0,0.1111111111,0.2222222222,0.1666666667,0.0721649485,0.5,0.6,0.5,0,0,0.01,0.98,0.02,0
2,33115,1,1,1,1,1,2,1,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0,79,1,2,0,3,3,6,U,49,0,0,0,0.3333333333,0.0618556701,0,0,0,0,0,0.01,0.98,0.01,0
4,32215,1,1,1,1,1,2,1,0,1,1,0,0,1,3,1,1,1,0,0,0,1,0.5,0.5,30,1,1,2,6,1,4,U,29,0,0,0,0.1666666667,0.206185567,0.25,0,0,0,0,0.01,0.98,0.01,0
8,32315,1,1,1,1,1,1,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1,1,52,1,1,4,3,1,6,S,24,0,0.1111111111,0,0,0.0309278351,0,0.8,0.5,0,0,0.01,0.98,0.01,0
9,41115,1,1,1,1,1,2,1,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0.5,0.5,33,3,1,1,8,1,1,U,16,0,0,0,0.5,0.206185567,0.5,0.8,0.5,0,0,0.01,0.98,0.01,0
15,40415,1,1,1,1,1,2,1,0,1,1,0,0,1,3,0,1,1,0,0,0,0,0.5,0,58,1,2,0,8,1,8,S,34,0,0,0,0.1666666667,0.0515463918,0.5,0,0,0,0,0.01,0.98,0.01,0
24,40215,2,1,1,1,1,2,1,0.5,1,1,0,0,1,3,0,1,0,1,0,0,1,0,0,59,5,2,0,6,1,5,S,12,0,0,0,0.3333333333,0.0618556701,0.5,0,0,0,0,0.01,0.98,0.01,0
35,40415,1,1,1,1,1,1,1,0.5,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,35,1,1,4,8,1,9,S,34,0,0,0,0.5,0.0206185567,0,0,0,0,0,0.01,0.98,0.01,0
36,32315,1,1,1,1,1,2,1,0,1,1,0,0,1,3,1,1,0,0,0,0,0,1,1,30,6,2,0,5,5,9,U,12,0,0,0,0.3333333333,0.0412371134,0.5,0,0,0,0,0.01,0.98,0.01,0
41,31815,2,1,1,1,1,2,1,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,53,6,2,0,2,1,2,R,48,0,0,0,0.3333333333,0.0206185567,0.5,0,0,0,0,0.01,0.98,0.01,0
47,40415,2,1,1,1,1,2,1,0,1,1,0,1,1,3,1,1,1,0,0,0,0,0.5,0,60,5,2,0,6,1,99,U,55,0,0,0,0.1666666667,0.0309278351,0.5,0,0,0,0,0.01,0.98,0.01,0
52,31915,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0.5,41,4,2,0,4,4,1,S,39,0,0,0,0.3333333333,0.0309278351,0.125,0.2,0.25,0,0,0.01,0.98,0.01,0
54,40615,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0.5,0.5,19,6,2,0,3,4,3,S,12,0,0,0,0.3333333333,0.3092783505,0.25,0.6,0.5,0,0,0.01,0.98,0.01,0
91,33015,1,1,1,1,1,2,1,0.5,1,1,0,1,2,2,0,0,0,0,0,0,0,1,0.5,16,6,2,0,2,2,1,U,6,0,0,0,0.3333333333,0.1546391753,0,0,0,0,0,0.01,0.98,0.01,0
98,33115,2,1,1,1,1,2,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,39,4,2,0,5,1,4,U,50,0.1111111111,0.1111111111,0,0.1666666667,0.0515463918,0.125,0.2,0.125,0,0,0.01,0.98,0.01,0
99,40315,1,1,1,1,1,2,1,0.5,1,1,0,1,1,1,0,1,1,1,0,0,0,0.5,0.5,64,1,2,0,7,3,99,S,34,0,0,0,0.5,0.9278350515,0.5,0.6,0.5,0,0,0.01,0.98,0.01,0
116,31815,2,1,1,1,1,2,1,0,1,0,0,0,3,3,1,0,0,0,0,0,0,1,0,52,1,2,0,4,3,4,U,6,0,0,0,0.5,0,0,0,0,0,0,0.01,0.98,0.01,0
118,32215,1,1,1,1,1,2,1,0.5,1,0,1,1,2,3,0,0,0,0,0,0,0,1,0,50,1,1,3,6,1,8,S,32,0,0,0,0.1666666667,0.0618556701,0,0,0,0,0,0.01,0.98,0.01,0
128,41015,1,1,1,1,1,2,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.5,0,57,5,2,0,6,1,7,U,18,0,0,0,0.1666666667,0.1546391753,0,0,0,0,0,0.01,0.98,0.01,0
143,40315,1,1,1,1,1,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,67,1,2,0,3,3,6,R,42,0,0,0,0.5,0,0,0,0,0,0,0.01,0.98,0.01,0
145,31915,2,1,1,1,1,2,1,0.5,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,39,6,1,4,4,4,2,U,39,0.1111111111,0.1111111111,0,0.1666666667,0.5154639175,0.5,0.6,0.5,0,0,0.01,0.98,0.01,0
184,41115,1,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,1,1,1,0,0,1,0.5,0,28,6,2,0,6,1,9,U,36,0,0.1111111111,0,0.1666666667,0.412371134,0.5,0.8,0.5,0,0,0.01,0.98,0.01,0
162,31815,2,1,1,1,1,2,1,0.5,1,0,1,1,1,2,0,0,0,0,0,0,1,0,0,54,1,2,0,4,3,7,U,16,0,0,0.3333333333,0.1666666667,0.1237113402,0.5,0,0,0,0,0.01,0.97,0.02,0
177,32015,1,1,1,1,1,2,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,21,6,2,0,5,1,6,S,12,0,0.3333333333,0,0,0.0309278351,0,0,0,0,0,0.01,0.97,0.02,0
183,40115,1,1,1,1,1,1,1,0.5,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,35,4,2,0,3,2,3,S,10,0,0,0.3333333333,0.3333333333,0.0618556701,0.125,0.4,0.125,0,0,0.01,0.97,0.02,0
100,40515,1,1,1,1,1,2,1,0.5,1,0,0,1,2,3,1,0,0,0,0,0,0,0.5,0,68,1,2,0,8,3,8,U,33,0,0.1111111111,0,0,0.1237113402,0,0,0,0,0,0.01,0.97,0.01,0
14,32915,1,1,1,1,1,2,1,0.5,1,1,0,1,2,2,1,0,0,0,0,0,0,1,0.5,34,1,1,2,8,1,9,S,32,0.1111111111,0.1111111111,0,0.5,0.0206185567,0,0,0,0,0,0.01,0.96,0.03,0
168,32015,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0,1,0,0,1,0.5,0.5,20,6,2,0,3,7,3,U,24,0.1111111111,0.2222222222,0,0.1666666667,0.1546391753,0.375,0.6,0.375,0,0,0.01,0.96,0.03,0
18,32315,1,1,1,1,1,2,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,25,1,2,0,3,1,9,R,48,0,0,0,0,0,0.5,0,0,0,0,0.02,0.96,0.01,0
23,40115,2,1,1,1,1,2,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,54,6,2,0,3,1,3,R,9,0,0,0,0,0.1030927835,0,0,0,0,0,0.02,0.96,0.01,0
156,33115,1,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,55,1,2,0,4,1,5,S,48,0,0,0,0,0.412371134,0.375,0.2,0.25,0,0,0.02,0.96,0.01,0
103,31915,1,1,1,1,1,2,1,0,1,1,0,0,1,3,0,0,0,1,0,0,1,0.5,0,19,6,2,0,3,7,9,U,13,0.3333333333,0.1111111111,0,0.3333333333,0.0412371134,0.125,0,0,0,0,0.01,0.95,0.04,0
125,40515,2,1,1,1,1,2,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0.5,0,16,6,2,0,2,4,98,S,34,0,0.3333333333,0,0.5,0.0618556701,0.5,0.8,0.5,0,0,0.01,0.95,0.03,0
188,41215,2,1,1,1,1,2,1,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0.5,0,48,1,1,2,6,4,9,S,53,0,0,0.6666666667,0.3333333333,0.1030927835,0.25,0,0,0,0,0.01,0.94,0.04,0
50,31915,2,1,1,1,1,2,1,0,1,1,0,1,3,2,1,0,0,0,0,0,0,0.5,0,18,6,2,0,4,2,98,S,6,0.1111111111,0.2222222222,0.3333333333,0,0.0618556701,0,0,0,0,0,0.02,0.92,0.06,0
84,40215,2,1,1,1,1,8,1,0,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0,37,4,1,1,3,2,3,S,36,0,0,0,0.1666666667,0,0.25,0,0,0,0,0.03,0.92,0.04,0
48,40515,1,1,1,1,1,2,1,0.5,1,0,0,0,3,3,0,0,0,0,0,0,0,0.5,0.5,16,6,2,0,2,4,3,S,25,0.3333333333,0,0,0.5,0,0,0,0,0,0,0.02,0.85,0.13,0
30,31715,2,1,1,1,1,2,1,0.5,1,1,1,0,1,3,1,1,1,0,0,0,0,0,0,54,1,1,3,8,1,8,U,48,0,0,0.6666666667,0.1666666667,0.0103092784,0.375,0,0,0,0,0.03,0.84,0.13,0
96,31715,1,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,31,1,2,0,3,4,7,R,55,0,0,0,0.1666666667,0.0309278351,0,0,0,0,0,0.06,0.83,0.11,0
159,41215,1,1,1,1,1,2,1,1,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0.5,39,3,1,3,6,1,5,S,12,0,0,0,0.1666666667,0.0618556701,0,0,0,0,0,0.06,0.83,0.11,0
169,32115,1,1,1,1,1,2,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,22,6,2,0,3,2,9,U,47,0.5555555556,0,0,0.1666666667,0.0412371134,0,0,0,0,0,0.03,0.82,0.14,0.01
113,31815,1,1,1,1,1,2,1,0,1,0,0,0,1,3,0,1,0,1,0,0,0,0.5,0.5,30,2,1,3,5,1,3,S,6,0,0.2222222222,0.6666666667,0.1666666667,0,0.5,0,0,0,0,0.03,0.79,0.17,0.01
81,40415,2,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,35,1,1,5,6,4,9,S,51,0,0,0.2222222222,0.1666666667,0.1237113402,0.375,0.6,0.375,0,0,0.05,0.72,0.22,0
129,31815,2,1,1,1,1,2,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,43,6,2,0,6,1,8,U,11,0.2222222222,0,0.5555555556,0.5,0.0515463918,0.5,0.8,0.625,0,0.01,0.03,0.7,0.26,0.01
31,31815,1,1,1,1,1,2,1,1,1,1,0,1,2,2,0,0,0,0,0,0,0,1,1,23,6,2,0,6,1,1,S,39,0.1111111111,0,0,0.3333333333,0.0515463918,0,0,0,0,0,0.04,0.7,0.25,0
73,32115,2,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,26,6,2,0,6,1,6,U,25,0,0.1111111111,0.1111111111,0,0.0309278351,0,0,0,0,0,0.08,0.66,0.26,0
75,32315,1,1,1,1,1,2,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,35,6,2,0,8,1,7,U,12,0,0.1111111111,0,0.5,0.0206185567,0,0,0,0,0,0.04,0.61,0.35,0
20,40315,1,1,1,1,1,2,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0.5,58,1,2,0,3,3,3,U,29,0,0,0,0.3333333333,0.7216494845,0.25,0.2,0.375,0,0.1,0.16,0.59,0.11,0.05
93,31815,1,1,1,1,1,2,1,1,1,1,0,0,1,3,0,1,1,1,0,0,0,0,0.5,17,6,2,0,2,2,6,U,48,0.1111111111,0.1111111111,0,0,0.5154639175,0.25,0,0,0,0,0.08,0.58,0.33,0
97,31715,1,1,1,1,1,8,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,18,6,2,0,3,1,2,U,37,0,0.3333333333,0,0.1666666667,0.0309278351,0,0,0,0,0.01,0.06,0.55,0.36,0.02
6,40315,2,1,0,1,1,2,1,0,1,1,0,0,1,2,1,1,1,0,0,1,0,0,0,99,1,2,0,3,3,99,S,34,0,0,0,0.5,0.0103092784,0.5,0,0,0,0.11,0.17,0.55,0.13,0.04
171,31915,2,1,0,1,1,2,1,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,55,1,2,0,4,5,7,S,19,0,0,0,0.1666666667,0.2577319588,0.375,0,0,0,0.12,0.2,0.55,0.1,0.03
21,31815,2,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0.5,0,42,1,1,3,6,4,7,R,17,0,0,0.3333333333,0.3333333333,0.0103092784,0.5,0.8,0.5,0,0,0.04,0.54,0.41,0
122,40315,1,0,1,1,1,2,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0.5,1,37,4,2,0,6,1,6,U,27,0,0,0,0.5,0,0.5,0,0,0,0.03,0.1,0.53,0.25,0.08
152,41215,2,1,1,1,1,2,1,1,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0.5,24,6,2,0,8,1,8,S,42,0,0.2222222222,0.1111111111,0.1666666667,0.1030927835,0,0,0,0,0,0.04,0.47,0.48,0
102,32315,2,1,1,1,1,2,0,1,1,1,0,0,2,1,0,0,0,0,0,0,1,1,0.5,28,1,1,4,4,1,3,R,18,0,0,0,0.1666666667,0.0412371134,0,0.2,0.625,0,0.04,0.23,0.44,0.25,0.03
137,32315,2,1,0,1,1,2,1,0.5,1,1,1,1,1,3,1,1,0,0,0,0,0,0.5,0,63,3,2,0,6,3,2,S,13,0,0,0.5555555556,0.3333333333,0.0618556701,0.5,0,0,0,0.05,0.16,0.4,0.35,0.03
78,33015,2,1,0,1,1,2,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,68,1,2,0,3,3,2,S,12,0,0,0,0.8333333333,0,0,0,0,0.01,0.16,0.17,0.4,0.18,0.07
82,40315,2,1,1,1,1,2,0,0.5,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,57,1,2,0,4,4,98,R,49,0,0,0.6666666667,0.3333333333,0.1237113402,0,0,0,0,0.06,0.14,0.38,0.36,0.06
64,40515,1,1,1,1,1,2,0,0.5,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,57,1,2,0,3,1,6,R,29,0,0,0.6666666667,0.5,0,0,0,0,0,0.06,0.13,0.33,0.41,0.08
178,31915,1,1,1,1,1,9,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0.5,0,30,1,1,1,6,1,6,S,26,0,0,0,1,0,0,0,0,0,0.03,0.08,0.31,0.51,0.06
144,40415,2,1,1,1,1,2,1,0.5,0,1,0,1,1,3,1,1,0,1,0,0,0,0,0,55,1,2,0,5,4,4,U,48,0,0.3333333333,0,0.3333333333,0.5154639175,0.375,0,0,0,0.01,0.07,0.29,0.57,0.06
72,33015,2,1,1,1,1,8,0,0.5,1,1,1,0,2,3,0,0,0,0,0,0,0,1,0,99,1,2,0,3,3,99,S,12,0,0,0,0.5,0.1237113402,0,0,0,0.01,0.08,0.15,0.29,0.35,0.12
114,31715,1,1,1,1,1,2,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0,68,1,2,0,6,3,7,U,32,0,0.3333333333,0,0.3333333333,0.1030927835,0,0,0,0,0,0.03,0.28,0.69,0
37,31815,1,1,1,1,1,2,1,1,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,60,1,2,0,3,3,7,S,4,0,0,0,0.3333333333,0.0206185567,0,0,0,0,0.01,0.09,0.27,0.57,0.05
92,41215,2,1,1,1,1,2,1,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0.5,0,50,1,1,2,8,1,7,R,20,0,0,0,0.3333333333,0.0206185567,0,0.8,0.5,0,0.01,0.09,0.27,0.57,0.05
142,40115,2,1,1,1,1,5,1,0,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,27,6,2,0,4,1,1,U,48,0,0.3333333333,0,0.1666666667,0.0309278351,0.125,0,0,0.01,0.04,0.09,0.27,0.39,0.2
191,32215,2,1,1,1,1,2,1,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0.5,0.5,62,5,2,0,8,1,99,R,13,0.3333333333,0.3333333333,0,0.8333333333,0,0.5,0,0,0,0.01,0.04,0.24,0.68,0.02
192,32315,1,1,1,1,1,2,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,40,1,1,2,6,1,7,S,1,0.3333333333,0,0,0.3333333333,0.206185567,0.375,0.8,0.5,0,0,0.03,0.22,0.74,0
149,33015,2,1,1,1,1,2,1,0.5,0,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,28,1,1,3,3,2,98,R,12,0,0.2222222222,0.3333333333,0.3333333333,0,0,0,0,0,0.01,0.05,0.21,0.67,0.05
141,41015,1,0,1,1,1,1,1,0,1,1,0,0,3,3,0,0,0,0,0,0,0,1,1,20,2,2,0,3,4,1,S,25,0,0,0,1,0.0309278351,0,0,0,0.01,0.05,0.09,0.21,0.33,0.31
55,31715,1,1,1,1,1,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,22,6,2,0,2,1,2,S,13,0,0,0.1111111111,0.1666666667,0,0,0,0,0.01,0.15,0.12,0.19,0.13,0.39
77,40315,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0.5,0,48,1,1,1,8,1,9,S,24,0,0,0.5555555556,0.5,0.206185567,0.25,0.2,0.25,0,0,0.02,0.15,0.82,0
74,40315,2,1,0,1,1,1,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,24,2,1,1,2,4,2,S,34,0,0.2222222222,0,0.1666666667,0,0,0,0,0.02,0.17,0.11,0.15,0.16,0.4
26,40415,2,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0.5,0,51,1,1,1,5,2,7,S,6,0,0,0.6666666667,0.3333333333,0.0412371134,0.25,1,0.625,0,0,0.02,0.14,0.83,0
58,32315,2,1,1,1,1,2,1,1,1,1,0,1,1,2,1,1,0,1,0,0,1,0.5,0,34,1,1,1,8,1,6,S,51,0,0,0.6666666667,0.3333333333,0.0309278351,0.5,0,0,0,0,0.02,0.14,0.83,0
90,31715,1,1,1,1,1,5,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,44,6,1,2,5,1,4,U,29,0,0,0,0.5,0.5154639175,0.25,0.8,0.5,0,0.01,0.07,0.14,0.69,0.08
198,31715,1,1,1,1,1,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,29,1,2,0,3,1,3,S,16,0,0,0,0.1666666667,0.0103092784,0,0,0,0.01,0.15,0.1,0.14,0.11,0.48
135,31815,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0.5,0.5,45,1,2,0,8,1,9,S,29,0.3333333333,0,0,0.5,0.0206185567,0.375,0.8,0.5,0,0,0.02,0.13,0.84,0
107,40415,1,1,1,2,1,2,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0.5,0.5,27,1,2,0,5,1,2,U,6,0,0,0,0.3333333333,0,0,0,0,0,0.02,0.82,0.13,0.02,0
19,32915,2,1,1,1,1,2,1,0.5,1,1,1,1,1,2,1,0,0,0,0,0,1,1,0,37,1,2,0,8,1,99,U,6,0.1111111111,0.1111111111,0.8888888889,0.1666666667,0.3608247423,0.5,0,0,0,0,0.02,0.12,0.85,0
194,40415,1,1,1,1,1,2,1,0.5,0,1,0,1,1,3,0,0,0,0,0,0,0,1,0,34,1,1,2,4,1,6,U,13,0,0,1,0.1666666667,0.0618556701,0.5,0,0,0,0.01,0.06,0.12,0.72,0.09
106,41015,1,1,1,2,1,2,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,49,1,2,0,3,4,98,S,13,0,0,0,0,0.0206185567,0,0,0,0.01,0.13,0.63,0.11,0.06,0.06
120,40415,2,1,1,1,1,2,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0.5,1,45,6,1,2,6,1,3,U,26,0.5555555556,0.5555555556,0.3333333333,0.1666666667,0,0,0,0,0,0.02,0.04,0.1,0.8,0.04
53,33115,2,1,0,1,1,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.5,0,60,3,2,0,5,3,2,S,6,0,0,0,0.5,0.1237113402,0,0,0,0.01,0.66,0.08,0.1,0.06,0.09
32,40415,2,1,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,16,6,2,0,2,2,98,U,18,0.1111111111,0.2222222222,0.2222222222,0.3333333333,0.0412371134,0,0,0,0,0,0.01,0.09,0.89,0
105,40315,2,0,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0,46,1,2,0,2,4,9,S,40,0.6666666667,0.6666666667,0.6666666667,0.8333333333,0.0309278351,0,0,0,0.08,0.08,0.09,0.09,0.31,0.35
150,32415,1,1,1,1,1,2,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,36,6,2,0,8,1,9,U,48,0,0,0.6666666667,0.5,0,0,0,0,0,0,0.02,0.08,0.9,0
111,40115,2,1,1,1,1,2,1,1,1,1,0,1,2,3,1,0,0,0,0,0,0,0.5,0,43,1,1,3,5,1,6,U,47,0.3333333333,0.1111111111,0.1111111111,0.1666666667,0.2577319588,0,0,0,0,0,0.01,0.08,0.9,0
